t_index	term	df
736	atop	13
737	atp	3
738	atroc	10
739	atrophi	1
740	atsea	3
741	attach	15
742	attack	306
743	attain	1
744	attempt	112
745	attend	68
746	attent	64
747	attest	2
748	attitud	10
749	attorney	58
750	attract	15
751	attribut	12
752	attrit	1
753	atwan	1
754	aubrey	19
755	aubri	5
756	audienc	16
757	audio	4
758	audiotap	1
759	auditor	5
760	auditorium	1
761	aug	33
762	augment	1
763	august	32
764	aunt	2
765	aur	5
766	aura	1
767	aurora	4
768	ausi	1
769	aussi	9
770	auster	2
771	austin	18
772	australia	23
773	australian	72
774	austria	3
775	austrian	1
776	austrohungarian	1
777	authent	2
778	author	255
779	authoritarian	27
780	auto	1
781	autocrat	27
782	autograph	1
783	autom	1
784	automat	18
785	automobil	4
786	autonom	1
787	autonomi	3
788	autopilot	1
789	autopsi	1
790	autumn	2
791	avala	1
792	avalanch	1
793	aveng	7
794	avent	1
795	avenu	4
796	averag	14
797	avert	6
798	aviat	3
799	aviv	4
800	avner	2
801	avoid	59
802	avow	1
803	awad	2
804	await	26
805	awaken	2
806	awar	18
807	award	9
808	awe	3
809	aweigh	1
810	awestruck	1
811	awkward	4
812	awn	4
813	awok	1
814	axam	1
815	axe	1
816	ayatollah	1
817	aykroyd	1
818	ayman	5
819	aynaoui	1
820	ayr	1
821	ayyam	1
822	az	1
823	aziz	1
824	azul	1
825	azulay	2
826	babenko	2
827	babi	14
828	babkin	6
829	baboa	1
830	backa	1
831	backandforth	1
832	backbo	1
833	backcourt	1
834	backdrop	4
835	backer	14
836	backfir	5
837	background	4
838	backhand	14
839	backho	1
840	backlash	3
841	backstop	2
842	backtoback	5
843	backup	2
844	backward	3
845	backyard	1
846	bacon	18
847	bad	39
848	badg	3
849	badli	39
850	badrasen	5
851	baffl	2
852	bag	14
853	bagad	1
854	baggag	1
855	baghbel	1
856	baghdad	2
857	bahgbo	5
858	bahrain	34
859	bahrainbas	3
860	bai	1
861	baijubahi	2
862	bail	4
863	bailey	6
864	baird	1
865	bairnt	1
866	bakarec	3
867	bake	2
868	baken	1
869	baker	5
870	bakhshish	1
871	bakri	5
872	balawat	1
873	balcacer	2
874	balconi	11
875	bald	1
876	balintkurti	1
877	balk	4
878	balkan	25
879	ball	29
880	ballard	1
881	ballast	2
882	ballena	1
883	ballist	1
884	ballo	1
885	balloon	3
886	ballot	72
887	ballroom	2
888	ballstrik	1
889	balonia	1
890	balsamo	1
891	baltimor	3
892	baltin	1
893	bamba	3
894	bambi	1
895	bamboo	2
896	bamboosupport	2
897	bament	1
898	ban	24
899	banco	1
900	band	11
901	bandag	8
902	bandanna	3
903	bandit	1
904	bang	7
905	bangalor	1
906	bangaru	3
907	bangladesh	5
908	bank	68
909	banker	10
910	bankfraud	1
911	bankrupt	5
912	bankruptci	4
913	banner	9
914	banquet	1
915	baptist	5
916	bar	54
917	barak	9
918	barb	4
919	barbar	2
920	barbara	24
921	barber	1
922	barbershop	1
923	barcelona	1
924	bare	46
925	barefacedli	1
926	barent	36
927	barg	3
928	bargain	9
929	bari	1
930	bark	1
931	barkina	2
932	barkolla	1
933	barkova	3
934	barna	4
935	barney	1
936	barnstorm	1
937	barot	1
938	barov	1
939	barr	1
940	barrack	35
941	barrag	2
942	barrel	2
943	barrera	2
944	barri	1
945	barricad	18
946	barrier	12
947	bartlett	1
948	barua	5
949	base	166
950	basebal	4
951	baseballstyl	1
952	baseerod	1
953	baselin	16
954	baselinebound	1
955	basement	1
956	basher	1
957	bashraheel	1
958	bashrahel	1
959	basi	15
960	basic	43
961	basilica	1
962	bask	2
963	basket	3
964	basketbal	1
965	basset	1
966	bassiouni	1
967	bastion	6
968	batch	1
969	bath	4
970	bathroom	3
971	bathtub	1
972	batic	2
973	baton	4
974	battalion	3
975	batten	1
976	batter	8
977	batteri	1
978	batteryoper	1
979	battl	76
980	battlefield	4
981	battleground	8
982	battleharden	2
983	bauman	6
984	bautista	1
985	bavaria	1
986	bay	7
987	bazaar	1
988	bbc	29
989	beach	17
990	beachfront	1
991	bead	1
992	beal	1
993	beam	13
994	bean	3
995	bear	23
996	beard	18
997	bearer	2
998	beat	79
999	beaten	31
1000	beater	3
1001	beaumontbas	1
1002	beauti	6
1003	beaver	1
1004	becausec	1
1005	beci	2
1006	becker	1
1007	bed	35
1008	bedanova	2
1009	bedi	12
1010	bedouin	1
1011	bedroom	6
